_exercise,emg_chest_1,emg_chest_2,emg_chest_3,emg_chest_4,emg_chest_5,emg_forearm_1,emg_forearm_2,emg_forearm_3,emg_forearm_4,emg_forearm_5,emg_upper_arm_1,emg_upper_arm_2,emg_upper_arm_3,emg_upper_arm_4,emg_upper_arm_5,pitch_forearm_1,pitch_forearm_2,pitch_forearm_3,pitch_forearm_4,pitch_forearm_5,pitch_upper_arm_1,pitch_upper_arm_2,pitch_upper_arm_3,pitch_upper_arm_4,pitch_upper_arm_5,roll_forearm_1,roll_forearm_2,roll_forearm_3,roll_forearm_4,roll_forearm_5,roll_upper_arm_1,roll_upper_arm_2,roll_upper_arm_3,roll_upper_arm_4,roll_upper_arm_5
bicep curl,84.674208144791677,61.272315919385434,143.39160839164114,159.76881941585424,91.046894282160508,190.18510900872568,406.82928835874543,458.70135746607639,446.76182640885742,416.26779103249066,487.5989304814122,864.71369806676796,1047.8124228712522,1019.8239407651159,1022.9999999999985,-28.199090909091645,-34.161896338958215,-43.556371863431622,-36.594438502672105,-37.953155080217762,0.0,0.0,0.0,0.0,0.0,-61.53416289592694,-55.620970793908057,-41.087815713692429,-27.040941999173427,-17.81322089674336,0.0,0.0,0.0,0.0,0.0
bicep curl,28.471822295356109,100.28054298645561,139.66351295761083,38.812834224586524,99.456602221341413,272.63883175646697,212.6544631838658,216.96009872479988,165.27437268611158,121.89304812833423,922.51871657748063,883.07733443032282,1073.3044014808554,836.2883587000274,623.97120526525441,-44.400740436033651,-34.944232825994476,-32.371657754011295,-33.919284245166743,-32.408679555737145,0.0,0.0,0.0,0.0,0.0,-11.520785684907331,-31.074282188404435,-37.436565199509282,-50.380106951875341,-54.743245577953559,0.0,0.0,0.0,0.0,0.0
bicep curl,108.81777046480234,16.032908268186151,83.74290415470216,147.72932949403085,81.683257918535247,994.31756478819341,942.50143973675767,1061.9160839160766,871.77951460287898,288.73673385424161,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,-13.302320032905691,-15.450974907451126,-31.280793911973287,-32.454405594405898,-33.271143562318699,0.0,0.0,0.0,0.0,0.0,34.461921020158719,31.286042780742669,16.459366515830759,-4.3416166186823482,-15.961703002882928,0.0,0.0,0.0,0.0,0.0
bicep curl,132.14191690662446,76.916906622771805,27.977375565608924,92.905800082293652,158.13204442616438,114.90456602224207,170.03743315509331,183.06375976963113,142.22089675030634,177.97285067874998,609.64911559046925,995.30234471417191,1040.6482928835803,1025.6260798025492,1022.9999999999985,-28.180789798436116,-28.966412998766714,-31.837758124228362,-27.746873714521147,-31.681958041959366,0.0,0.0,0.0,0.0,0.0,-61.169238996298091,-55.657716988888275,-35.384426162066021,-20.075516248451763,-9.445927601806682,0.0,0.0,0.0,0.0,0.0
bicep curl,88.975730152172716,57.912793089297509,173.82064993832793,168.83504730560932,116.68696009869686,155.50802139037168,179.39037433156528,189.07116412998562,202.98601398601167,169.82723159193506,452.76429452911071,844.85767174015621,1040.726038667231,1014.989304812833,1022.9999999999985,-28.354611271082341,-30.865063759771122,-35.140074043603796,-33.107317976141154,-33.438272315919527,0.0,0.0,0.0,0.0,0.0,-61.488942821882894,-55.643447141090064,-41.427671740019619,-29.781883998350995,-22.926791443848373,0.0,0.0,0.0,0.0,0.0
bicep curl,98.958453311361751,44.35294117647998,54.512134923887658,54.211435623222997,225.04031262858766,3.7498971616647268,75.654463183946717,472.09954751144869,689.17359111476321,500.38214726453964,135.34635952287644,569.36363636385727,1064.2945290004736,993.14273961332663,1022.9999999999985,-31.654640065816309,-30.771036610447553,-30.598827642948027,-39.926655697244009,-29.620830933767689,0.0,0.0,0.0,0.0,0.0,-58.219506375977041,-59.162879473468287,-56.301641299868876,-21.128095433964305,6.8424886877918638,0.0,0.0,0.0,0.0,0.0
bicep curl,134.05183052239161,69.392842451640519,38.023035787756854,125.12464006585387,152.80419580416941,339.21431509668116,644.29370629388188,1057.6659810777983,997.8218839983532,1022.9999999999985,1023.7716988893445,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,-42.741760592348299,-29.342657342652799,-22.078975730149839,-17.125808309335458,-16.160732208971247,0.0,0.0,0.0,0.0,0.0,-1.9893253804930549,19.90385438092035,37.297062937070464,54.658321678323809,45.147079391189898,0.0,0.0,0.0,0.0,0.0
bicep curl,87.935417523606475,3.5968737145137961,65.795146030471003,147.58864664747026,74.270259152586931,510.21225832997908,775.8737145208903,1061.9909502262433,740.61373920181893,353.61497326193324,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,1022.9999999999985,-48.919814890988953,-40.226861373916613,-27.67785273549817,-37.923253805023478,-49.819016865491115,0.0,0.0,0.0,0.0,0.0,17.06492389963292,23.630789798439757,33.292414644180369,26.416499382965643,14.402554504313173,0.0,0.0,0.0,0.0,0.0
bicep curl,156.35870012343639,151.72562731383044,25.364047716954786,132.33484162901482,210.81818181816385,400.41341011934639,861.96256684509137,1068.4784039489768,1030.9962978198298,1008.0612916494572,1022.9999999999985,1022.9999999999985,1022.9999999999985,1024.9580419580404,1039.5022624434421,-44.28541752364859,-30.833253805015609,-30.993702180174203,-34.41018099547653,-43.643990127523445,0.0,0.0,0.0,0.0,0.0,25.246976552862112,37.963747429044851,39.069786096254234,30.981398601396503,24.811172357050491,0.0,0.0,0.0,0.0,0.0
bicep curl,38.505964623636274,151.27725215965518,210.63430686957344,81.921020156267545,37.179350061726602,72.331139448836254,299.96585767180113,308.67544220484308,332.41505553272282,383.90127519538436,316.95146030443806,697.05923488294809,1054.9304812834584,1005.6137392019731,1022.9999999999985,-34.536236116824327,-30.944590703412405,-34.00305224187899,-42.260218017277516,-40.875890580011017,0.0,0.0,0.0,0.0,0.0,-55.497490744549552,-58.702595639655499,-49.249843685717416,-22.415351707110215,-14.901349238992028,0.0,0.0,0.0,0.0,0.0
bicep curl,63.505964623717858,772.8515014400117,1091.6869600987011,1033.9880707527755,1022.9999999999985,125.79843685729016,260.39531057183973,361.49362402303586,293.16906622787644,333.8519127931051,512.20773344310317,673.16207322096864,813.65158371043708,916.79350061707055,874.65199506368253,-24.184302756068103,-30.479387083508694,-46.458408062532918,-61.244574249282337,-59.125952283007948,0.0,0.0,0.0,0.0,0.0,-66.076190867953898,-52.707828054291014,-29.123916083907549,-8.16981489098516,0.8311723570582914,0.0,0.0,0.0,0.0,0.0
bicep curl,75.859317153436422,74.528177704646055,73.03743315508116,76.830111065406157,76.461538461536492,98.609625668462627,173.46400658173664,518.7297408474833,615.74125874127083,611.76758535577039,715.312628548009,919.80090497742879,1045.9033319621631,1016.0403126285397,963.98683669264847,-22.454775812422792,-25.417840394902779,-38.62460715755217,-47.970436034558482,-59.691205265324371,0.0,0.0,0.0,0.0,0.0,-67.50980666392428,-62.253171534341632,-38.740695187158131,-21.384668860544156,-0.81677498970860785,0.0,0.0,0.0,0.0,0.0
bicep curl,75.654463183874853,74.143973673384707,78.769230769232493,77.009049773752992,72.832990538873617,138.04853969563632,279.76799670922094,387.95310571782733,366.09913615798934,557.22953517074325,453.41299876600351,709.16248457436791,980.1332784862459,847.69436445901863,897.62772521600129,-17.959144385028402,-28.783932538053541,-35.342686137395049,-46.092394076515355,-55.573628136571294,0.0,0.0,0.0,0.0,0.0,-72.675549156723832,-58.6540600575836,-41.447330316734316,-19.669206088022484,-2.0365775400999153,0.0,0.0,0.0,0.0,0.0
bicep curl,16.096256684469424,268.78486219687642,1069.4315096669168,747.32908268185042,321.65569724382539,359.653640477181,397.55532702590182,243.72357054704588,212.61044837516329,240.75524475525691,679.73837926778344,474.08103661036404,440.53846153851191,513.44878650757698,418.16824352126503,-35.036038667216005,-36.744644179349898,-36.564664747021467,-56.396322501035328,-65.291995063755962,0.0,0.0,0.0,0.0,0.0,38.772307692308118,35.134236939528805,29.152237762232144,0.78426162072435845,-6.7613574660653821,0.0,0.0,0.0,0.0,0.0
bicep curl,65.111065405271091,441.52653229127174,152.16577540095099,100.88111888111436,67.825174825173519,231.88564376803089,319.71452077339399,443.30769230769988,392.50596462360522,375.40888523238522,535.07116413004724,711.86343068701478,932.86589880711392,815.4039489921372,813.58371040723057,-25.058313451256911,-32.662369395313782,-44.438037844513929,-58.387474290416833,-49.71191690661837,0.0,0.0,0.0,0.0,0.0,-60.428083093371434,-44.022344714103454,-25.887778691887771,-2.5392760180916394,15.267914438507642,0.0,0.0,0.0,0.0,0.0
bicep curl,160.36857260376155,78.393665158356711,110.30933772114233,225.2385849444687,120.26573426573057,384.81653640487451,841.51048951064104,1063.0592348827668,807.02550390765532,278.75820649952448,627.02797202796035,415.04154668854085,385.78239407659572,834.40518305240369,1061.1475935834953,-30.358362813653098,-20.361332784859215,-20.062143150968154,-21.245141916906867,-23.111455368157358,0.0,0.0,0.0,0.0,0.0,-48.156849033326949,-67.143068696015092,-70.327980255037446,-68.853356643356307,-66.791252982316308,0.0,0.0,0.0,0.0,0.0
bicep curl,8.2801316331784562,771.70835047333264,1092.5623200328846,1040.8757712875365,1005.5849444672866,225.70218017275042,179.91855203618709,197.94364459073364,277.18634306869376,268.75853558207399,458.43068696010664,578.49074454962636,683.37227478403304,690.18222953521467,767.65322912373222,-51.087149321266374,-51.343216783218573,-49.112727272722253,-35.259757301519699,-33.183307280951247,0.0,0.0,0.0,0.0,0.0,14.802645002056757,8.8782887700472575,-10.778951048959181,-37.42213492390858,-51.934627725220821,0.0,0.0,0.0,0.0,0.0
bicep curl,274.62361168232974,748.70876182665359,1083.1032496914827,1023.6853146853135,1022.9999999999985,196.7256273138857,308.80954339781431,391.9802550391085,398.06458247629996,260.29617441381208,630.55738379267643,774.31509666814543,1078.1073632250464,957.50349650346516,968.25257095846518,-35.738482106132579,-45.747926779108063,-56.670477169889381,-47.679930069926421,-45.541912793088777,0.0,0.0,0.0,0.0,0.0,-47.779551624838675,-23.550913204433517,-7.1581365693075485,10.451925133696266,21.900835047308,0.0,0.0,0.0,0.0,0.0
bicep curl,867.96454134111593,909.15713698073239,1048.5697243932491,1029.8992184286285,1023.2879473467693,123.90859728505839,84.462772521580064,74.687371452081322,76.143562320036352,99.416289592779449,97.669683257914471,130.9354175236617,145.65693130398139,118.8757712875873,402.42739613336624,-24.178640065816257,-23.67838338132443,-24.279461127108242,-23.834500205676772,-25.295750719868927,0.0,0.0,0.0,0.0,0.0,-65.787208556150077,-66.30234471410941,-65.646577540106748,-65.88109419991747,-64.529489921842085,0.0,0.0,0.0,0.0,0.0
bicep curl,-53.293294940228108,761.365281777321,1091.4997943233002,1033.9765528589046,1022.9999999999985,409.27437268621208,567.27560674620634,470.27231591933548,414.15302344713962,438.49321266970873,249.66104483747452,247.8317564788675,478.94076511730316,572.16330728102776,925.92719045672027,-24.733895516248399,-25.898700123405934,-24.483406005758873,-28.728626079805565,-36.05874948580923,0.0,0.0,0.0,0.0,0.0,-65.3120156314274,-63.700518305223945,-65.526384204031288,-58.087577128748038,-46.703422459890881,0.0,0.0,0.0,0.0,0.0
chest flye,215.24845742492883,415.47881530248026,877.66227889768163,956.67873303166118,899.49485808306326,108.89510489509803,159.41752365286055,228.70259152612692,249.18017276841874,233.91279308925658,356.566844919799,572.19498148927823,1079.9473467709404,816.45166598095034,549.32867132862395,-18.862324146442759,-19.021752365279156,-8.4270876182635099,-21.870456602224809,-15.18482517481827,0.0,0.0,0.0,0.0,0.0,20.56528589058086,19.649090909089008,16.453504730569357,43.680542986433558,66.136713286722753,0.0,0.0,0.0,0.0,0.0
chest flye,259.49321266971708,416.95104895109768,567.4533113945098,543.87248046071534,581.16947758126742,177.22706705060185,181.46770876182148,186.40765117236626,186.5470999588666,184.80008227067472,561.22583299058556,816.01357466075069,1050.8099547510988,657.56478815289324,487.10366104480465,-21.333085150144569,-20.495512134922787,-18.434035376388071,-18.712575071986901,-17.883336075687545,0.0,0.0,0.0,0.0,0.0,18.820588235292586,14.366223776223785,13.150793911970894,19.539452900045973,35.501480872075177,0.0,0.0,0.0,0.0,0.0
chest flye,804.27972027980275,952.23611682440458,989.43397778690519,917.34348004932679,741.41011929236288,248.48663101606815,368.17359111478845,274.32085561494182,298.04895104895371,202.36404771693961,481.16495269439793,493.04936240227528,392.52982311802884,338.16042780745101,240.31509666801725,-7.1665199506376158,-9.0913368983968805,-12.529847799260898,-13.492344714109636,-15.839843685727381,0.0,0.0,0.0,0.0,0.0,79.294751131223251,79.501637186341711,77.181842863017707,74.76532291238135,73.645557383791598,0.0,0.0,0.0,0.0,0.0
chest flye,656.27478403949681,750.35499794334442,971.98889345945463,782.87700534757937,918.62361168244001,193.63101604278552,214.44672974084421,250.49814890993559,314.88934594820023,334.56972439325494,792.83874948576135,664.88728918136928,485.54051830516784,491.55285890578591,345.74208144791555,-12.640374331550795,-18.788276429453134,-10.101238173588595,-4.2438379267764077,1.0842616207303872,0.0,0.0,0.0,0.0,0.0,18.835244755247206,23.984792266560053,51.392060880307362,71.635043192106295,75.387379679146619,0.0,0.0,0.0,0.0,0.0
chest flye,832.42986425339791,841.0518305224341,956.62237762239613,834.38831756466436,461.21760592335585,127.67132867131592,202.06663924313236,262.33689839573987,249.04236939530114,209.74660633481463,217.46770876186068,230.30769230765944,185.71122994655875,274.17523652818443,250.61415055532635,-1.6880872069115926,-6.6342616207329037,-6.8793212669695176,-9.0577498971603614,-7.9439942410553748,0.0,0.0,0.0,0.0,0.0,87.179271904564487,81.837972027971631,82.642188399834225,79.721151789387221,78.423517071161939,0.0,0.0,0.0,0.0,0.0
chest flye,848.03496503511099,1009.9271904566145,1080.7535993418394,859.2410530643939,250.18552036191537,338.67256273147495,502.28794734677689,622.34265734279404,1043.0353763883331,681.79761415040934,193.12422871247497,266.77951460308526,344.69148498560128,323.59234882763678,344.69642122583809,9.2355121349245586,6.1267256273122115,2.2926326614535486,-1.3357219251341865,-0.027441382145724724,0.0,0.0,0.0,0.0,0.0,73.470292060877796,66.135750719865953,60.601238173591398,68.868963389551297,59.940530645821688,0.0,0.0,0.0,0.0,0.0
chest flye,442.61538461542875,540.63883175653825,747.31838749488668,557.92965857667036,744.9621554917087,120.00205676677463,206.81694775816391,334.0164541341253,320.45701357464367,256.07404360344759,447.55285890580456,585.7716988894573,1032.7239819005113,665.61003702163293,379.45742492797785,-14.459773755655018,-10.816783216782202,-11.118288770053269,-12.178975730151933,-6.5039448786466201,0.0,0.0,0.0,0.0,0.0,31.760106951872842,29.79830522418554,23.356166186755111,38.428934594829087,75.274417935011343,0.0,0.0,0.0,0.0,0.0
chest flye,478.65322912391656,769.72974084737177,387.20074043591887,408.7404360346456,806.20732208973334,141.74989716169128,265.53599341837804,255.07116412997198,245.36651583709806,252.65939942411495,338.73262032093851,818.72850678748796,985.37679967088332,768.58329905381424,626.47716988886214,-15.100049362401499,-7.5533813245560903,-10.445396955986233,-11.546355409295613,-6.5552406417107631,0.0,0.0,0.0,0.0,0.0,22.868572603865914,21.151213492391619,29.8013451254674,42.053229123822106,49.071863430687543,0.0,0.0,0.0,0.0,0.0
chest flye,899.73179761413655,794.47470176887271,1069.9469354175203,750.3562320032305,916.60921431519694,47.843274372687922,51.539695598526919,115.11723570553153,347.03619909507842,331.85849444666201,240.54134101189263,187.85643767997485,200.51090086382882,169.29576306047733,195.78198272316359,4.6641135335250192,-0.63319210201673115,1.1941423282599093,-3.5218428630219378,-10.607589469357055,0.0,0.0,0.0,0.0,0.0,82.185096668039449,90.298946935418485,89.265199506375382,85.431727684078325,79.066194981485637,0.0,0.0,0.0,0.0,0.0
chest flye,453.57260386676853,526.45043192102924,468.27108185926778,419.60674619501555,495.06581653640689,47.396955985276989,446.26285479234684,325.1061291648644,237.89222542162918,216.21431509666078,183.88687782816129,842.57507198704764,1103.9995886466281,934.58576717396477,876.0308515013952,-22.365273549979225,-14.512768408058742,-5.535351707115856,-8.1837186343065262,-8.1714603044000818,0.0,0.0,0.0,0.0,0.0,16.730037021801358,16.514245166599093,25.989905388731316,25.809856026332771,52.190267379685537,0.0,0.0,0.0,0.0,0.0
chest flye,346.19457013581916,789.93459481710431,1045.9358288770163,1019.7577128753668,1000.7013574660431,295.02015631422699,269.44385026743464,593.52241875781453,676.03249691483506,644.97326203206444,79.964623611696211,231.0238584945613,587.52858905806897,503.94076511716929,527.2587412588698,-18.241637186342377,-13.849111476755059,-6.9805224187587287,-16.80512957630944,-22.711246400658471,0.0,0.0,0.0,0.0,0.0,1.8268860551203669,1.0190045248869808,2.834282188401537,9.5931591937504166,17.726631016047953,0.0,0.0,0.0,0.0,0.0
